date	place	name	genre	time	price	website
13 Oct 11	Beer Market	Zsa + Claire	Pop; Folk	2030-2345	Free + F&B Charges	http://www.screamquiet.com/
13 Oct 11	Broun	Samba Rossa	Brazilian; Samba; Bossa Nova 	1930-2130	Free + F&B Charges	http://broun.sg/
13 Oct 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
13 Oct 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
13 Oct 11	Grand Theater, Marina Bay Sands	Kit Chan ≪The Music Room≫ Concert 2011	English; Chinese; Pop	2030	$68-168	http://www.sistic.com.sg/portal/dt?dt.isPortletRequest=true&dt.action=process&dt.provider=PortletWindowProcessChannel&dt.windowProvider.targetPortletChannel=JSPTabContainer/sEventsCalendar/Event&dt.containerName=JSPTabContainer/sEventsCalendar&dt.windowProvider.currentChannelMode=VIEW&dt.window.portletAction=RENDER&contentCode=kitchan1011
13 Oct 11	Hard Rock Café	Enigma	Acoustic Set	2200	Free + F&B Charges	http://www.hardrock.com
13 Oct 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges	http://www.highlanderasia.com/
13 Oct 11	Quarubar	Wayne Sandz & Wayne Gideon	Jazz; Latin; Tango	2100	Free + F&B Charges	http://www.facebook.com/group.php?gid=46581108311
13 Oct 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	http://www.pumproomasia.com/home.html
13 Oct 11	Timbre Arts House	The Common People	Pop Rock	2015-2330	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
13 Oct 11	Timbre Old School	53A	Pop Rock	2015-2330	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
13 Oct 11	Timbre Substation	Goodfellas	Rock	2215-0045	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
13 Oct 11	Wala Wala Café Bar	Shirlyn and the UnXpected	Pop rock	2130	Free + F&B Charges	http://www.imaginings.com.sg/
14 Oct 11	Broun	Angry Wives	Top 40's; Rock; R&B; Soul	1930-2130	Free + F&B Charges	http://broun.sg/
14 Oct 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
14 Oct 11	Esplanade Concert Hall	Harmoni Cinta Rossa	Indo; Malay; Pop	2030	$78-$248	http://www.sistic.com.sg/portal/dt?dt.isPortletRequest=true&dt.action=process&dt.provider=PortletWindowProcessChannel&dt.windowProvider.targetPortletChannel=JSPTabContainer/sEventsCalendar/Event&dt.containerName=JSPTabContainer/sEventsCalendar&dt.windowProvider.currentChannelMode=VIEW&dt.window.portletAction=RENDER&contentCode=rossa1011
14 Oct 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
14 Oct 11	Grand Theater, Marina Bay Sands	Kit Chan ≪The Music Room≫ Concert 2011	English; Chinese; Pop	2030	$68-168	http://www.sistic.com.sg/portal/dt?dt.isPortletRequest=true&dt.action=process&dt.provider=PortletWindowProcessChannel&dt.windowProvider.targetPortletChannel=JSPTabContainer/sEventsCalendar/Event&dt.containerName=JSPTabContainer/sEventsCalendar&dt.windowProvider.currentChannelMode=VIEW&dt.window.portletAction=RENDER&contentCode=kitchan1011
14 Oct 11	Hard Rock Café	Energy	Rock	2200	Free + F&B Charges	http://www.hardrock.com
14 Oct 11	Hard Rock Café Sentosa	Enigma	Top 40's	2200	Free + F&B Charges	http://www.hardrockhotelsingapore.com/
14 Oct 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges	http://www.highlanderasia.com/
14 Oct 11	Paulaner Brauhaus	Zsa + Claire	Pop; Folk	1900-2100	Free + F&B Charges	http://www.screamquiet.com/
14 Oct 11	Tab Singapore	Mel & Khim	Pop	1930	Free + F&B Charges	http://www.tab.com.sg/2011/01/mel-khim/
14 Oct 11	Tab Singapore	Renegade Creation	Blues; Rock	1930	$85	http://www.tab.com.sg/2011/01/renegade-creation/
14 Oct 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	http://www.pumproomasia.com/home.html
14 Oct 11	Timbre Arts House	Goodfellas	Pop Rock	2130-0045	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
14 Oct 11	Timbre Old School	Sugarlove	Pop Rock	2015-2330	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
