date	place	name	genre	time	price	description	website
27 Sep 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges		http://www.crazyelephant.com/
27 Sep 11	Esplanade Recital Studio	Asian Jazz All-Stars Power Quartet	Jazz	1930	$42	Known as The Asian Jazz All-Stars Power Quartet, the band comprises Singapore’s own ‘King of Swing’ jazz pianist/organ maestro Jeremy Monteiro; Eugene Pao, arguably Asia’s top jazz guitarist from Hong Kong; Tots Tolentino, saxophone extraordinaire from Philippines; and Hong Chanutr Techatana-nan, one of the most innovative and exciting drummers to emerge in the Asian jazz scene, from Thailand. This powerful amalgamation of Asian jazz leaders is bound to create musical alchemy for their shows taking place in the intimate setting of Esplanade Recital Studio.
27 Sep 11	Hard Rock Café	Unified	Top 40's; Rock	2200	Free + F&B Charges		http://www.hardrock.com
27 Sep 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges		http://www.highlanderasia.com/
27 Sep 11	Hood Bar & Café	Singapore Char Siew Bao	Acoustic; Top 40's	2030	Free + F&B Charges		http://www.hoodbarandcafe.com/
27 Sep 11	Quarubar	Dawn Ho & Munir Alsagoff	Jazz; Latin; Tango	2100	Free + F&B Charges	Chill to our draft beer of Stella Artois, Hoegaarden and San Miguel. Catch the latest sports on the TV screens. Savor our concoctions with delectable choice of finger food. Be serenaded by the harmonies of Jazz, Latin & Tango performed by our musicians as our meticulously mixed cocktails tease your palate.	http://www.facebook.com/group.php?gid=46581108311
27 Sep 11	Tab Singapore	Mel & Khim	Pop	2030	Free + F&B Charges	Khim’s singing profession began at 13 when she was the youngest ever, top 4 female finalist in the “Campus Super Star 2006″ competition. Even now, Khim still sounds much larger than her tender age of 19.  Together with Mel (Member of E.I.C) on “bassed”-guitar, this duo will delight you with a versatile mix of the latest, as well as classic top 40 and easy listening hits with a penchant towards R&B.	http://www.tab.com.sg/2011/01/mel-khim/
27 Sep 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	The inimitable Jive Talkin' spices up the evening with its vibrant and funky repertoire of top 40s, pop, rock and jazz. Dance till you drop! 	http://www.pumproomasia.com/home.html
27 Sep 11	Timbre Arts House	53A	Pop Rock	2015-2330	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
27 Sep 11	Timbre Old School	Fatt, Shili & Adi	Pop Rock	1945-2300	Free + F&B Charges		http://www.timbregroup.asia/timbresg/main.asp
